carrier,country_code,country_alpha3
"""AT&T""",US,USA
#NAME?,Unknown,UNK
--,Unknown,UNK
1001,Unknown,UNK
1GLOBAL,NG,NGA
1O1O / csl,Unknown,UNK
310020,Unknown,UNK
310026,Unknown,UNK
311000,Unknown,UNK
311012,Unknown,UNK
311080,Unknown,UNK
312130,Unknown,UNK
313100,Unknown,UNK
313340,Unknown,UNK
51566,Unknown,UNK
62130,Unknown,UNK
700 MHz Public Safety Broadband,Unknown,UNK
732360,Unknown,UNK
9mobile,Unknown,UNK
AIRVOICE WIRELESS,Unknown,UNK
AIS,Unknown,UNK
ALTICE,Unknown,UNK
ASSIST,Unknown,UNK
ASTC,Unknown,UNK
AT&T,US,USA
AT&T MicroCell,US,USA
AT&T Mobility,US,USA
AT&T Turbo,US,USA
AT&T...1,US,USA
AT&T...2,US,USA
AT&amp;T Mobility,Unknown,UNK
ATOM,Unknown,UNK
ATOM 4.5G,Unknown,UNK
Access Wireless,Unknown,UNK
AirTalk,Unknown,UNK
AirTel,IN/NG/KE,IND/NGA/KEN
AirVoice,Unknown,UNK
Airadigm Communications,Unknown,UNK
Airtel,IN/NG/KE,IND/NGA/KEN
Airtel NG,IN/NG/KE,IND/NGA/KEN
Airtel Nigeria,IN/NG/KE,IND/NGA/KEN
Airtel Wireless,IN/NG/KE,IND/NGA/KEN
AirtelTanzania,IN/NG/KE,IND/NGA/KEN
Alltel,Unknown,UNK
Appalachian,Unknown,UNK
Appels d'urgence uniquement,Unknown,UNK
Assurance Wireless,Unknown,UNK
Astound,Unknown,UNK
BAIT,Unknown,UNK
BAIT R,Unknown,UNK
Banglalink,BD,BGD
Bark,Unknown,UNK
Batelco by Beyon,Unknown,UNK
Bell,CA,CAN
Boost,US,USA
Boost Mobile,US,USA
Bravado Wireless,Unknown,UNK
Breezeline,UK,GBR
Broadpoint Inc,Unknown,UNK
C Spire,Unknown,UNK
CC,Unknown,UNK
CC Network,Unknown,UNK
CELLONE,Unknown,UNK
CLARO,LATAM,LAT
CLARO BR,LATAM,LAT
CLARO DOM,LATAM,LAT
CLARO HND LTE,LATAM,LAT
CMCC,CN,CHN
CREDO,Unknown,UNK
CREDO Mobile,Unknown,UNK
CWW,Unknown,UNK
Caprock,Unknown,UNK
Caprock Cellular,Unknown,UNK
Carolina West,Unknown,UNK
Carolina West Wireless,Unknown,UNK
Carrier,Unknown,UNK
Cellcom,Unknown,UNK
Cellular At Sea,Unknown,UNK
Cellular ONE,Unknown,UNK
Claro,LATAM,LAT
Claro AR,LATAM,LAT
Claro CO,LATAM,LAT
Claro Dominicana,LATAM,LAT
Claro PY,LATAM,LAT
ClaroSV,LATAM,LAT
Commnet Wireless,Unknown,UNK
Cox Mobile,Unknown,UNK
Cricket,US,USA
Cubacel,CU,CUB
DIGICEL,Caribbean,CAR
DIGITEL,Unknown,UNK
DISH,Unknown,UNK
Dark Star,Unknown,UNK
Digi,Unknown,UNK
Digicel,Caribbean,CAR
EE,UK,GBR
ENTOUCH,Unknown,UNK
Easy Wireless,Unknown,UNK
Emergency calls only,Unknown,UNK
Entouch,Unknown,UNK
Extended,Unknown,UNK
Extended Network,Unknown,UNK
F-Bouygues Telecom,FR,FRA
F-Orange,EU,EUR
FLOW,Unknown,UNK
FSMTC,Unknown,UNK
Family Mobile,Unknown,UNK
FarEasTone,TW,TWN
FirstNet,Unknown,UNK
Flash,Unknown,UNK
Free,FR,FRA
Freedom,FR,FRA
GCI,Unknown,UNK
GLOBE,NG,NGA
Gen Mobile,Unknown,UNK
Glo LTE,NG,NGA
Glo NG,NG,NGA
Globe Telecom-PH,NG,NGA
Google Fi,Unknown,UNK
Grameenphone,UK,GBR
H2O,Unknown,UNK
HOME,Unknown,UNK
Helium,Unknown,UNK
Home,Unknown,UNK
IND airtel,IN/NG/KE,IND/NGA/KEN
Infimobile,Unknown,UNK
Instabridge,Unknown,UNK
Jazz,Unknown,UNK
KT,KR,KOR
Koodo,CA,CAN
Kroger Wireless,Unknown,UNK
LAO GSM,Unknown,UNK
LG U+,KR,KOR
Liberty,PR/Caribbean,PRI/CAR
Life Wireless,Unknown,UNK
LifeWireless,Unknown,UNK
LinkUp,Unknown,UNK
LycaMobile,Unknown,UNK
MBO Wireless,Unknown,UNK
MOBILE,Unknown,UNK
MOVILNET GSM,Unknown,UNK
MTN,NG/ZA,NGA/ZAF
MTN NG,NG/ZA,NGA/ZAF
MTN NIGERIA,NG/ZA,NGA/ZAF
MTN Nigeria,NG/ZA,NGA/ZAF
"MTPCS, LLC",Unknown,UNK
Maxsip,Unknown,UNK
MaxxMobile,Unknown,UNK
Mediacom Mobile,Unknown,UNK
MetTel,Unknown,UNK
Metro,Unknown,UNK
Metro by T-Mobile,US,USA
MetroPCS,US,USA
Mint,Unknown,UNK
Mobifone,VN,VNM
Mobile,Unknown,UNK
Mobile TeleSystems,Unknown,UNK
Movistar,LATAM/ES,ESP/LAT
NTA,Unknown,UNK
NTW,Unknown,UNK
Naked Mobile,Unknown,UNK
Ncell,NP,NPL
Nemont,Unknown,UNK
Nepal Telecom,NP,NPL
New Mexico RSA 4 East Ltd. Partnership,Unknown,UNK
Nex-Tech Wireless USA,Unknown,UNK
Nextel Communications,Unknown,UNK
No network connection,Unknown,UNK
No service,Unknown,UNK
Northstar,Unknown,UNK
O2 - UK,UK/DE,GBR/DEU
OPTUS,AU,AUS
Oklahoma Western Telephone Compa,Unknown,UNK
One,Unknown,UNK
Optimum,Unknown,UNK
Orange,EU,EUR
Orange B,EU,EUR
Orange F,EU,EUR
Orange Senegal,EU,EUR
PK-UFONE,Unknown,UNK
PTI Pacifica Inc.,Unknown,UNK
PURE TALK,Unknown,UNK
Patriot,Unknown,UNK
Pine Cellular,Unknown,UNK
Pine Telephone Company,Unknown,UNK
Pure Talk,Unknown,UNK
PureTalk,Unknown,UNK
Q Link Wireless,Unknown,UNK
REALLY,Unknown,UNK
ROAM,Unknown,UNK
ROGERS,CA,CAN
Rami Levy,Unknown,UNK
Reach Mobile,Unknown,UNK
Red Pocket,Unknown,UNK
RedPocket,Unknown,UNK
Roam,Unknown,UNK
Roaming,Unknown,UNK
Roaming Indicator Off,Unknown,UNK
Robi,BD,BGD
Rogers Wireless,CA,CAN
Rural Cellular Corporation,Unknown,UNK
SAF FOR YOU,Unknown,UNK
SAFETYNET,Unknown,UNK
SFR,Unknown,UNK
SKTelecom,KR,KOR
SMART,Unknown,UNK
STKmobi,Unknown,UNK
Safaricom,KE,KEN
Salt,CH,CHE
Searching for Service,Unknown,UNK
Smith Bagley,Unknown,UNK
"Smith Bagley, Inc.",Unknown,UNK
SoftBank,JP,JPN
Southern Linc,Unknown,UNK
SpaceX,Unknown,UNK
Spectrum,US,USA
Spectrum Wi-Fi calling,US,USA
Sprint,Unknown,UNK
Stay Home-Teletalk,BD,BGD
Strata Networks,Unknown,UNK
T-MOBILE,US,USA
T-Mobile,US,USA
T-Mobile SpaceX,US,USA
T-Mobile US,US,USA
T-Mobile USA,US,USA
T-Mobile | FLOW,US,USA
TAG Mobile,Unknown,UNK
TDS Mobile,Unknown,UNK
TELCEL,Unknown,UNK
TELEKOM.RO,DE,DEU
TELUS,CA,CAN
TFW,Unknown,UNK
TIGO,Unknown,UNK
TKS easyMobile,Unknown,UNK
TNT,Unknown,UNK
"TX-11 Acquisition, LLC",Unknown,UNK
TagMobile,Unknown,UNK
Tampnet US,Unknown,UNK
"Telecom North America Mobile, In",Unknown,UNK
Telekom Deutschland GER,DE,DEU
Telekom.de,DE,DEU
Teletalk,BD,BGD
TelkomSA,Unknown,UNK
Telkomsel,ID,IDN
Tello,Unknown,UNK
TextNow,Unknown,UNK
Thrive,Unknown,UNK
Thumb,Unknown,UNK
Tigo,Unknown,UNK
Ting,Unknown,UNK
Tracfone,Unknown,UNK
TruConnect,Unknown,UNK
Truconnect,Unknown,UNK
U.S. Cellular,Unknown,UNK
U.S.Cellular,Unknown,UNK
U.s.Cellular,Unknown,UNK
US  Mobile,Unknown,UNK
US Cellular,Unknown,UNK
US Mobile,Unknown,UNK
USA - Commnet,Unknown,UNK
USA OT,Unknown,UNK
UScellular,US,USA
Ufone,Unknown,UNK
Ultra,Unknown,UNK
Ultra.me,Unknown,UNK
Ultra/Mint Mobile,Unknown,UNK
Union Telephone Company,Unknown,UNK
Union Wireless,Unknown,UNK
Unity,Unknown,UNK
Unknown,Unknown,UNK
VIVADR,Unknown,UNK
VL Wireless,Unknown,UNK
Verizon,US,USA
Verizon Wireless,US,USA
Vi India,IN,IND
Viaero,Unknown,UNK
Visible,Unknown,UNK
Vodafone,EU,EUR
Vodafone RO,EU,EUR
Vodafone Widest 5G Network,EU,EUR
WE,Unknown,UNK
WINDTRE,Unknown,UNK
WIRELESS,Unknown,UNK
WOW,Unknown,UNK
Wave Runner LLC (Guam),Unknown,UNK
Whoop Connect,Unknown,UNK
Wireless,Unknown,UNK
XFINITY Mobile,US,USA
XL,Unknown,UNK
Xfinity Mobile,US,USA
Xfinity Mobile Wi-Fi Calling,US,USA
YES OPTUS,AU,AUS
Yettel,RS/BG/HU,SRB/BGR/HUN
airtel,IN/NG/KE,IND/NGA/KEN
bluesky,Unknown,UNK
bmobile the fastest network in T&T,TT,TTO
cricket,US,USA
dtac.Better Together,Unknown,UNK
du,AE,ARE
glo,NG,NGA
glo ng,NG,NGA
i-Wireless,Unknown,UNK
iPad,Unknown,UNK
iPhone,Unknown,UNK
mobileX,Unknown,UNK
mobilis,Unknown,UNK
o2 - de,UK/DE,GBR/DEU
stc ksa,SA,SAU
unknown,Unknown,UNK
vodafone ES,EU,EUR
vodafone GR,EU,EUR
vodafone TR,EU,EUR
vodafone UK,EU,EUR
vodafone.de,EU,EUR
